activity_id,user_id,activity_date,activity_type,points_earned
A00085,U4846,2026-04-20,AMA Join,27
A00086,U2214,2026-05-15,Referral,26
A00087,U1534,2025-11-20,Event Join,15
A00088,U2493,2025-11-29,Event Join,22
A00089,U1298,2024-04-10,Event Join,14
A00090,U1358,2025-03-04,Referral,31
A00091,U3684,2024-05-24,Message,8
A00092,U0234,2026-03-28,Event Join,29
A00093,U0564,2025-10-16,Referral,40
A00094,U3526,2025-10-03,Message,44
A00095,U2536,2026-01-10,Quest Complete,8
A00096,U4044,2024-05-28,Event Join,35
A00097,U0424,2025-12-25,Message,34
A00098,U1719,2026-03-12,Referral,33
A00099,U2468,2025-02-24,Quest Complete,3
A00100,U3967,2025-05-19,AMA Join,21
A00101,U3234,2025-05-15,Message,7
A00102,U1417,2025-02-25,Referral,35
A00103,U2644,2025-05-21,Message,14
A00104,U2338,2025-08-19,AMA Join,44
A00105,U2443,2024-09-05,Message,14
A00106,U3541,2025-07-26,Quest Complete,42
A00107,U1180,2024-06-22,AMA Join,2
A00108,U1411,2025-09-10,Event Join,3
A00109,U3465,2024-11-30,Message,4
A00110,U0873,2025-08-11,Event Join,36
A00111,U1937,2025-07-12,Referral,15
A00112,U2039,2025-08-27,Quest Complete,25
A00113,U1012,2025-03-05,Quest Complete,28
A00114,U1800,2025-11-05,Message,25
A00115,U3468,2025-07-08,Message,35
A00116,U1209,2025-01-25,Referral,5
A00117,U3247,2025-07-08,Message,45
A00118,U2059,2024-05-04,Event Join,33
A00119,U1016,2025-04-21,Event Join,44
A00120,U2679,2024-03-24,Referral,6
A00121,U3044,2025-09-06,Quest Complete,25
A00122,U0792,2025-04-25,Message,31
A00123,U4292,2025-03-03,Referral,15
A00124,U2410,2024-03-27,Quest Complete,35
A00125,U3217,2026-02-15,AMA Join,20
A00126,U4370,2025-10-19,Event Join,1
A00127,U1304,2025-03-10,Referral,10
A00128,U4980,2025-09-13,Message,1
A00129,U4502,2025-09-24,Referral,26
A00130,U0662,2026-04-27,Referral,6
A00131,U1802,2024-04-30,AMA Join,48
A00132,U3299,2026-01-06,AMA Join,27
A00133,U1496,2025-09-26,Referral,10
A00134,U4013,2024-07-28,AMA Join,15
A00135,U1607,2025-03-06,Event Join,13
A00136,U4610,2024-11-06,AMA Join,43
A00137,U4987,2026-04-29,Message,49
A00138,U1907,2024-10-24,Quest Complete,42
A00139,U1819,2024-11-12,Message,19
A00140,U2129,2025-09-19,Message,17
A00141,U4913,2024-11-18,AMA Join,47
A00142,U3953,2025-12-03,Quest Complete,22
A00143,U4297,2025-08-04,AMA Join,43
A00144,U4786,2026-02-08,AMA Join,7
A00145,U1289,2025-03-15,Referral,5
A00146,U1059,2025-02-09,Event Join,32
A00147,U1175,2026-04-17,Event Join,40
A00148,U1697,2025-07-28,Event Join,45
A00149,U0772,2025-06-17,AMA Join,37
A00150,U0556,2025-03-29,Event Join,21
A00151,U2208,2025-07-18,AMA Join,1
A00152,U3921,2024-11-04,AMA Join,15
A00153,U0447,2025-06-21,Quest Complete,18
A00154,U0492,2025-03-27,AMA Join,44
A00155,U1650,2025-08-04,Quest Complete,30
A00156,U2943,2024-08-22,Event Join,50
A00157,U1166,2026-03-03,Quest Complete,36
A00158,U3354,2025-02-14,AMA Join,42
A00159,U3637,2025-05-15,Message,18
A00160,U4141,2024-03-02,Referral,13
A00161,U4960,2025-03-31,Message,47
A00162,U4424,2025-08-26,Message,33
A00163,U0299,2025-07-25,Message,38
A00164,U3015,2024-07-16,Quest Complete,50
A00165,U1063,2026-04-17,AMA Join,3
A00166,U3641,2025-12-21,Event Join,35
A00167,U3564,2024-10-07,Quest Complete,42
A00168,U1643,2024-03-29,Event Join,26
A00169,U1318,2024-06-05,Referral,47
A00170,U4485,2025-07-12,AMA Join,30
A00171,U2549,2026-04-29,Referral,6
A00172,U4400,2024-07-19,Event Join,33
A00173,U4012,2024-04-20,AMA Join,40
A00174,U0977,2024-09-08,AMA Join,49
A00175,U1956,2025-02-14,AMA Join,29
A00176,U3708,2024-05-25,AMA Join,37
A00177,U4419,2025-03-26,AMA Join,48
A00178,U3852,2026-04-21,Event Join,3
A00179,U1698,2024-04-09,Quest Complete,15
A00180,U4863,2025-06-23,Event Join,24
A00181,U0136,2024-08-03,Message,43
A00182,U1853,2024-05-15,Referral,24
A00183,U0546,2025-10-28,Quest Complete,30
A00184,U1018,2025-05-05,Message,42
A00185,U4882,2025-10-05,Message,46
A00186,U3528,2025-11-26,Event Join,48
A00187,U0523,2025-08-22,Referral,35
A00188,U3435,2025-09-05,AMA Join,25
A00189,U3458,2026-02-10,Quest Complete,24
A00190,U3478,2025-08-06,Message,34
A00191,U3047,2024-12-23,Quest Complete,15
A00192,U1985,2025-09-07,Quest Complete,23
A00193,U3328,2026-02-07,Quest Complete,31
A00194,U2909,2025-11-27,Message,33
A00195,U4984,2025-01-16,Quest Complete,11
A00196,U2852,2024-10-07,Message,33
A00197,U1347,2024-08-29,Event Join,14
A00198,U0547,2024-06-17,AMA Join,11
A00199,U3206,2025-05-01,Referral,46
A00200,U0299,2025-03-16,AMA Join,27
A00201,U4134,2025-03-12,Message,31
A00202,U3494,2026-03-17,Quest Complete,31
A00203,U1854,2025-10-11,Referral,11
A00204,U4344,2025-02-12,Quest Complete,2
A00205,U1860,2026-02-16,Message,9
A00206,U4243,2025-03-23,Referral,11
A00207,U0095,2025-11-20,Referral,3
A00208,U2454,2026-02-12,AMA Join,4
A00209,U1709,2025-11-28,Event Join,12
A00210,U1644,2026-04-02,Quest Complete,39
A00211,U4684,2024-11-14,Message,47
A00212,U3946,2025-12-29,Event Join,6
A00213,U2969,2024-09-20,Quest Complete,39
A00214,U3646,2024-06-16,Quest Complete,11
A00215,U0758,2024-11-14,Quest Complete,39
A00216,U2614,2024-12-30,Referral,50
A00217,U0941,2024-07-20,Referral,43
A00218,U3326,2025-01-19,Event Join,11
A00219,U1808,2026-03-05,Event Join,30
A00220,U1916,2025-06-09,Referral,5
A00221,U2871,2024-12-31,Quest Complete,25
A00222,U3369,2024-05-31,Message,2
A00223,U3498,2025-07-01,Referral,33
A00224,U2756,2025-11-28,Quest Complete,10
A00225,U3256,2026-02-02,Message,12
A00226,U1891,2024-12-18,Referral,39
A00227,U1375,2025-10-05,Referral,33
A00228,U2529,2025-05-15,Message,31
A00229,U3704,2025-02-06,AMA Join,39
A00230,U0049,2024-07-01,Message,50
A00231,U0403,2025-03-27,Quest Complete,34
A00232,U4336,2025-06-10,Event Join,3
A00233,U2377,2025-10-18,Referral,28
A00234,U3120,2026-02-26,Quest Complete,50
A00235,U4316,2024-06-22,Event Join,38
A00236,U2532,2026-01-07,Referral,7
A00237,U3684,2024-04-19,AMA Join,17
A00238,U4774,2026-03-25,AMA Join,6
A00239,U1942,2024-08-01,Referral,35
A00240,U0317,2024-06-12,Event Join,13
A00241,U0798,2025-03-07,Message,37
A00242,U2609,2025-09-12,Message,34
A00243,U1915,2025-02-25,Quest Complete,42
A00244,U2518,2024-07-12,Event Join,27
A00245,U0956,2025-07-07,Message,10
A00246,U3077,2026-02-17,Referral,17
A00247,U3828,2026-02-02,Referral,28
A00248,U4411,2025-11-10,Event Join,40
A00249,U4077,2024-09-29,Quest Complete,49
A00250,U1945,2025-12-09,Quest Complete,36
A00251,U3505,2025-10-10,Quest Complete,12
A00252,U4688,2025-01-29,Referral,36
A00253,U2272,2025-10-15,Event Join,20
A00254,U1368,2026-03-11,Event Join,50
A00255,U3608,2024-09-14,Quest Complete,48
A00256,U2511,2024-08-31,Message,48
A00257,U0601,2024-09-14,Quest Complete,45
A00258,U1140,2024-06-29,Message,14
A00259,U3333,2024-06-24,Quest Complete,22
A00260,U1796,2026-01-18,Referral,45
A00261,U0589,2025-01-13,Message,11
A00262,U4763,2025-05-06,Message,6
A00263,U2120,2025-08-18,Quest Complete,39
A00264,U1255,2025-09-12,Message,5
A00265,U4947,2024-07-21,AMA Join,24
A00266,U2707,2024-05-20,Referral,3
A00267,U4091,2025-08-29,Quest Complete,40
A00268,U0555,2026-01-19,Referral,19
A00269,U0033,2024-11-11,Message,50
A00270,U4101,2024-11-26,Quest Complete,29
A00271,U0546,2025-07-23,AMA Join,43
A00272,U1311,2026-02-06,Event Join,13
A00273,U3942,2025-01-20,Referral,33
A00274,U4602,2024-05-20,AMA Join,40
A00275,U0425,2024-11-07,Message,24
A00276,U3961,2025-03-22,Message,11
A00277,U2906,2025-03-20,Event Join,50
A00278,U3324,2024-07-08,Event Join,43
A00279,U1306,2025-12-23,Quest Complete,38
A00280,U2623,2024-03-30,Referral,1
A00281,U3514,2024-09-21,Message,6
A00282,U3332,2026-02-06,Event Join,47
A00283,U4591,2026-03-21,Referral,23
A00284,U1399,2025-04-30,Event Join,15
A00285,U4549,2025-09-14,AMA Join,30
A00286,U0195,2024-06-22,Referral,1
A00287,U4261,2024-07-29,AMA Join,27
A00288,U0721,2025-01-30,Message,36
A00289,U4303,2025-04-25,Referral,19
A00290,U0454,2024-07-11,Message,33
A00291,U0681,2025-03-30,Referral,37
A00292,U1415,2024-04-07,Quest Complete,25
A00293,U4766,2025-11-21,Quest Complete,50
A00294,U3937,2025-10-01,Event Join,50
A00295,U1046,2024-10-23,Quest Complete,38
A00296,U3002,2025-01-02,Quest Complete,8
A00297,U1395,2024-06-14,Message,25
A00298,U1960,2025-09-01,AMA Join,44
A00299,U3705,2025-07-25,AMA Join,21
A00300,U4395,2025-11-13,Event Join,34
A00301,U1286,2025-01-14,Message,45
A00302,U4705,2025-03-23,AMA Join,19
A00303,U1910,2026-01-02,Quest Complete,44
A00304,U1626,2025-09-22,Message,36
A00305,U4235,2025-02-14,Quest Complete,21
A00306,U0296,2025-08-10,AMA Join,37
A00307,U0596,2024-05-22,AMA Join,48
A00308,U3132,2025-07-21,AMA Join,32
A00309,U4140,2024-08-23,AMA Join,48
A00310,U2201,2024-09-22,Event Join,14
A00311,U3593,2024-07-26,AMA Join,16
A00312,U4622,2025-07-18,Event Join,10
A00313,U0447,2025-02-04,Message,6
A00314,U1726,2026-02-15,Quest Complete,40
A00315,U4085,2025-04-18,Referral,3
A00316,U0960,2025-07-16,Event Join,40
A00317,U4852,2026-01-27,Quest Complete,37
A00318,U2461,2025-02-18,Quest Complete,12
A00319,U4852,2026-03-18,Event Join,26
A00320,U1878,2025-12-18,Referral,9
A00321,U3156,2025-08-02,Referral,28
A00322,U2616,2026-02-22,Referral,3
A00323,U2838,2024-08-19,Event Join,26
A00324,U2073,2026-04-01,AMA Join,30
A00325,U0819,2024-12-26,Referral,30
A00326,U3510,2026-03-18,Message,1
A00327,U4919,2024-09-26,AMA Join,25
A00328,U1546,2025-04-13,Message,21
A00329,U4067,2026-03-05,Referral,17
A00330,U3849,2024-02-29,Referral,17
A00331,U3308,2025-06-03,Event Join,31
A00332,U3789,2025-09-30,Event Join,24
A00333,U3166,2024-12-15,Quest Complete,28
A00334,U2389,2025-02-18,Quest Complete,45
A00335,U1869,2025-04-25,Event Join,26
A00336,U2688,2025-10-19,Quest Complete,12
A00337,U0727,2025-05-06,AMA Join,37
A00338,U3318,2024-07-31,AMA Join,7
A00339,U2843,2026-01-27,AMA Join,36
A00340,U1096,2024-06-11,Quest Complete,13
A00341,U4897,2024-07-08,AMA Join,31
A00342,U0615,2025-12-15,AMA Join,27
A00343,U4459,2026-04-24,AMA Join,41
A00344,U1680,2025-03-04,Referral,47
A00345,U1722,2025-06-11,Quest Complete,20
A00346,U0935,2025-07-21,Referral,37
A00347,U3293,2025-12-22,Quest Complete,7
A00348,U3051,2026-05-16,AMA Join,4
A00349,U2108,2025-07-17,Event Join,31
A00350,U1541,2025-05-23,Message,29
A00351,U4942,2025-07-28,Event Join,24
A00352,U4082,2025-03-07,Referral,36
A00353,U4119,2024-07-24,Event Join,2
A00354,U2569,2024-05-28,Message,23
A00355,U3797,2024-08-01,Referral,13
A00356,U1349,2025-01-13,Referral,42
A00357,U3943,2026-02-10,Referral,12
A00358,U2001,2025-05-20,Event Join,21
A00359,U4844,2024-11-24,Referral,32
A00360,U0442,2024-09-22,Message,25
A00361,U4593,2025-11-13,Event Join,30
A00362,U1422,2025-06-16,AMA Join,11
A00363,U3519,2024-07-15,Event Join,27
A00364,U3010,2024-08-09,Referral,37
A00365,U3963,2024-07-28,Message,6
A00366,U1691,2024-10-03,Event Join,15
A00367,U3083,2025-04-11,Event Join,42
A00368,U2939,2025-01-19,Event Join,39
A00369,U2715,2025-10-16,Quest Complete,18
A00370,U4840,2025-11-04,Event Join,48
A00371,U4018,2024-09-30,Referral,29
A00372,U2576,2025-08-18,AMA Join,12
A00373,U3369,2024-05-03,AMA Join,47
A00374,U2992,2025-09-15,Event Join,48
A00375,U1926,2025-05-10,Message,14
A00376,U3158,2025-04-29,Quest Complete,7
A00377,U3048,2024-02-11,Message,31
A00378,U0124,2026-01-08,Message,2
A00379,U1949,2024-07-25,Referral,49
A00380,U3679,2025-04-05,Message,17
A00381,U0246,2025-01-12,AMA Join,6
A00382,U2696,2026-04-30,Quest Complete,20
A00383,U0812,2025-11-19,AMA Join,48
A00384,U2932,2025-11-04,Quest Complete,41
A00385,U3309,2025-10-06,AMA Join,34
A00386,U2566,2025-01-31,Message,3
A00387,U2164,2025-07-15,Event Join,21
A00388,U0438,2024-06-06,Quest Complete,35
A00389,U2366,2025-11-30,Referral,29
A00390,U0739,2025-11-30,Referral,12
A00391,U0687,2025-08-03,Referral,30
A00392,U1937,2025-12-02,Referral,28
A00393,U0341,2025-01-21,Referral,20
A00394,U2219,2025-01-30,Quest Complete,35
A00395,U4108,2024-11-05,Message,29
A00396,U0959,2025-11-11,Event Join,27
A00397,U1209,2025-03-31,AMA Join,20
A00398,U0679,2024-01-23,Message,34
A00399,U0055,2025-08-22,Event Join,19
A00400,U3918,2026-03-20,Referral,1
A00401,U3800,2025-11-25,Quest Complete,49
A00402,U1064,2024-08-17,Event Join,1
A00403,U4783,2024-08-03,Event Join,39
A00404,U2368,2024-11-09,Message,36
A00405,U1960,2025-06-26,AMA Join,27
A00406,U0961,2025-03-31,Quest Complete,26
A00407,U0790,2025-05-16,AMA Join,46
A00408,U0177,2024-11-26,Quest Complete,25
A00409,U3879,2025-02-28,Event Join,6
A00410,U2233,2025-09-05,AMA Join,34
A00411,U1572,2025-06-02,Event Join,19
A00412,U4309,2025-03-09,Referral,18
A00413,U0515,2025-05-14,AMA Join,5
A00414,U0259,2025-05-02,AMA Join,19
A00415,U0167,2025-07-01,Quest Complete,40
A00416,U2181,2026-02-19,Event Join,45
A00417,U2511,2025-01-02,Quest Complete,13
A00418,U0894,2025-07-31,Message,10
A00419,U0474,2025-02-07,Referral,2
A00420,U0341,2024-10-26,Message,19
A00421,U3199,2024-06-08,AMA Join,46
A00422,U0810,2026-02-17,Message,15
A00423,U1701,2025-05-08,AMA Join,1
A00424,U2062,2024-09-19,AMA Join,22
A00425,U1330,2025-03-17,Event Join,32
A00426,U4025,2025-01-01,Quest Complete,45
A00427,U4870,2024-07-30,Event Join,6
A00428,U4123,2025-07-29,Message,18
A00429,U0472,2026-03-29,Message,35
A00430,U4402,2026-03-15,AMA Join,13
A00431,U3938,2025-01-10,Quest Complete,1
A00432,U3215,2025-07-18,AMA Join,25
A00433,U4944,2026-02-16,AMA Join,48
A00434,U2953,2024-12-03,AMA Join,30
A00435,U4747,2025-05-01,Referral,43
A00436,U4293,2025-02-16,Quest Complete,25
A00437,U4918,2024-10-19,Event Join,21
A00438,U2867,2025-12-17,Message,48
A00439,U1058,2025-09-13,Referral,8
A00440,U2267,2024-07-15,Quest Complete,41
A00441,U1411,2025-07-31,AMA Join,24
A00442,U3058,2024-09-16,AMA Join,8
A00443,U4736,2025-01-18,Quest Complete,21
A00444,U4556,2025-04-23,AMA Join,18
A00445,U1870,2026-03-18,Message,26
A00446,U2688,2025-10-10,Message,3
A00447,U1050,2025-08-23,Quest Complete,45
A00448,U4328,2026-02-12,AMA Join,24
A00449,U2680,2024-10-16,AMA Join,11
A00450,U4520,2025-07-07,Message,44
A00451,U1495,2025-04-11,Event Join,49
A00452,U4379,2026-03-28,Message,4
A00453,U4730,2024-10-23,AMA Join,45
A00454,U4463,2025-07-20,Message,9
A00455,U2976,2024-09-30,AMA Join,21
A00456,U3252,2025-08-15,Event Join,29
A00457,U0366,2024-05-03,Message,45
A00458,U1420,2025-07-05,Event Join,47
A00459,U3433,2025-01-02,Event Join,3
A00460,U3934,2025-05-16,Quest Complete,36
A00461,U0426,2024-08-28,Referral,45
A00462,U0945,2024-07-31,AMA Join,37
A00463,U1143,2025-04-16,Referral,23
A00464,U3925,2024-06-01,Quest Complete,18
A00465,U2922,2024-12-14,Referral,11
A00466,U0796,2025-01-01,Referral,10
A00467,U0280,2024-10-29,Event Join,17
A00468,U2959,2025-05-20,Event Join,30
A00469,U3885,2024-06-10,Referral,25
A00470,U1615,2024-02-23,Message,40
A00471,U4158,2024-12-31,Referral,16
A00472,U1884,2025-03-29,Message,43
A00473,U4638,2024-07-21,Quest Complete,13
A00474,U4353,2025-05-18,Quest Complete,50
A00475,U4907,2025-02-15,AMA Join,40
A00476,U4100,2024-12-19,Event Join,27
A00477,U3688,2024-10-26,Event Join,8
A00478,U3463,2024-05-24,Referral,43
A00479,U4600,2024-07-13,Message,9
A00480,U0059,2025-02-19,Message,13
A00481,U1423,2024-05-08,Quest Complete,13
A00482,U3574,2024-07-16,Message,37
A00483,U4221,2025-04-18,Quest Complete,43
A00484,U0048,2025-01-30,Referral,40
A00485,U0364,2025-10-09,Referral,17
A00486,U2923,2024-03-05,Event Join,15
A00487,U0220,2024-10-05,Message,1
A00488,U3777,2025-08-16,Quest Complete,6
A00489,U3009,2026-02-15,Message,24
A00490,U3047,2025-03-11,Quest Complete,24
A00491,U2720,2025-03-15,Referral,18
A00492,U4655,2025-07-02,Message,47
A00493,U1397,2025-07-22,Event Join,5
A00494,U1293,2024-12-23,Referral,7
A00495,U2730,2024-04-18,AMA Join,35
A00496,U0711,2025-11-06,AMA Join,13
A00497,U4781,2025-03-29,AMA Join,37
A00498,U0570,2025-09-04,AMA Join,36
A00499,U3565,2024-12-19,Quest Complete,48
A00500,U1651,2025-10-10,Referral,23
A00501,U4966,2025-10-28,Quest Complete,45
A00502,U0598,2025-08-17,Quest Complete,7
A00503,U2461,2025-01-21,AMA Join,36
A00504,U1118,2024-11-28,Referral,22
A00505,U3548,2025-03-13,AMA Join,35
A00506,U1376,2025-12-28,Quest Complete,23
A00507,U0797,2024-04-02,Referral,21
A00508,U0495,2025-05-19,Quest Complete,49
A00509,U3261,2026-05-23,Quest Complete,47
A00510,U1580,2024-07-07,Referral,16
A00511,U1491,2026-02-12,Referral,14
A00512,U4442,2024-10-29,Referral,48
A00513,U1206,2025-02-05,Event Join,29
A00514,U4791,2025-02-23,Quest Complete,1
A00515,U0235,2024-03-09,Event Join,39
A00516,U3539,2025-07-17,Referral,9
A00517,U3100,2024-11-08,Message,20
A00518,U3950,2025-04-20,AMA Join,21
A00519,U3439,2025-05-21,Event Join,36
A00520,U3320,2026-04-28,Referral,37
A00521,U1052,2024-11-27,AMA Join,7
A00522,U4208,2025-12-31,Quest Complete,23
A00523,U3036,2025-06-22,AMA Join,17
A00524,U0543,2025-05-20,Referral,16
A00525,U0153,2026-01-27,Event Join,20
A00526,U2477,2024-12-04,Referral,26
A00527,U0993,2024-08-05,AMA Join,47
A00528,U2578,2024-08-13,Event Join,31
A00529,U3273,2024-10-19,Quest Complete,45
A00530,U4034,2024-08-08,Referral,7
A00531,U3091,2024-08-24,Event Join,3
A00532,U2046,2025-09-20,Quest Complete,6
A00533,U0766,2024-05-04,Event Join,23
A00534,U3636,2025-02-05,Quest Complete,8
A00535,U3722,2025-11-13,Referral,1
A00536,U4609,2026-03-31,Quest Complete,4
A00537,U2267,2024-07-29,Referral,3
A00538,U4948,2026-03-04,Referral,37
A00539,U3796,2024-09-15,Event Join,33
A00540,U2738,2024-10-19,AMA Join,10
A00541,U4358,2025-11-20,Quest Complete,29
A00542,U2836,2024-12-29,Referral,33
A00543,U3780,2024-12-13,AMA Join,28
A00544,U1069,2025-08-04,Quest Complete,10
A00545,U3545,2024-12-03,Event Join,6
A00546,U0985,2025-02-23,Referral,48
A00547,U1902,2024-12-22,Referral,26
A00548,U1359,2025-09-08,Message,26
A00549,U2556,2025-04-30,Quest Complete,50
A00550,U3852,2026-06-15,AMA Join,49
A00551,U0409,2026-01-07,Quest Complete,36
A00552,U0002,2024-06-13,Quest Complete,26
A00553,U4390,2025-09-08,Referral,13
A00554,U1795,2026-02-11,Referral,48
A00555,U0486,2024-11-27,AMA Join,16
A00556,U1837,2024-03-12,Event Join,50
A00557,U0959,2025-12-13,Event Join,44
A00558,U3106,2024-07-13,Message,8
A00559,U3878,2025-11-25,Quest Complete,28
A00560,U4879,2025-01-30,Event Join,13
A00561,U1637,2025-11-23,Event Join,39
A00562,U0102,2025-02-05,Message,50
A00563,U0259,2025-06-03,AMA Join,23
A00564,U2622,2025-12-05,Quest Complete,40
A00565,U4545,2024-08-30,Quest Complete,3
A00566,U3142,2024-05-16,AMA Join,44
A00567,U2228,2024-11-20,AMA Join,49
A00568,U3642,2025-06-01,Message,48
A00569,U4342,2024-10-28,AMA Join,40
A00570,U3504,2025-12-06,Event Join,1
A00571,U1233,2024-05-14,Message,20
A00572,U2617,2024-06-24,Quest Complete,2
A00573,U2145,2026-02-10,AMA Join,48
A00574,U1630,2025-08-24,AMA Join,14
A00575,U1034,2025-01-30,Referral,49
A00576,U0797,2024-03-19,Referral,31
A00577,U3928,2025-04-22,AMA Join,45
A00578,U3836,2025-03-04,Message,25
A00579,U0816,2025-08-18,Referral,3
A00580,U0477,2024-10-19,AMA Join,4
A00581,U4793,2025-06-22,AMA Join,45
A00582,U4483,2026-01-13,Event Join,4
A00583,U1938,2025-07-01,Message,5
A00584,U4611,2025-06-16,Event Join,43
A00585,U2452,2024-11-07,Event Join,7
A00586,U3847,2024-07-02,Event Join,42
A00587,U2935,2024-11-16,AMA Join,25
A00588,U2242,2026-01-26,Message,21
A00589,U2245,2025-03-16,Referral,35
A00590,U1310,2024-08-04,AMA Join,13
A00591,U4809,2024-12-23,Quest Complete,36
A00592,U2168,2024-06-11,Message,16
A00593,U4483,2025-12-21,Event Join,22
A00594,U4072,2025-12-26,Quest Complete,48
A00595,U3777,2025-08-03,Message,23
A00596,U2675,2024-11-14,Event Join,23
A00597,U4243,2025-04-06,Event Join,16
A00598,U4815,2024-10-28,Event Join,4
A00599,U1767,2026-03-21,Event Join,25
A00600,U2241,2024-05-19,Referral,18
A00601,U3190,2024-09-05,AMA Join,22
A00602,U1527,2025-09-09,AMA Join,6
A00603,U3572,2025-12-09,Referral,44
A00604,U0758,2025-02-22,AMA Join,27
A00605,U3108,2026-01-31,Referral,10
A00606,U3509,2025-06-18,Event Join,39
A00607,U3696,2026-03-07,Quest Complete,35
A00608,U3222,2024-12-07,AMA Join,42
A00609,U4988,2026-01-22,Referral,35
A00610,U3395,2024-12-09,AMA Join,9
A00611,U1743,2025-03-12,Referral,9
A00612,U3171,2025-01-19,AMA Join,42
A00613,U3141,2025-01-16,AMA Join,21
A00614,U0965,2025-10-03,Referral,35
A00615,U0439,2025-02-12,AMA Join,21
A00616,U1496,2025-05-21,Message,49
A00617,U0325,2025-07-23,Quest Complete,27
A00618,U0151,2026-02-12,Quest Complete,48
A00619,U2460,2026-02-09,Event Join,10
A00620,U0803,2025-11-29,Message,9
A00621,U2374,2024-07-29,Message,49
A00622,U0859,2025-09-06,Referral,18
A00623,U4057,2024-09-16,Referral,40
A00624,U3123,2024-12-31,Referral,15
A00625,U4986,2025-08-17,Message,23
A00626,U4488,2024-10-29,Quest Complete,9
A00627,U3103,2025-12-09,Referral,31
A00628,U2842,2026-02-17,Event Join,12
A00629,U3565,2024-11-06,Quest Complete,31
A00630,U3517,2024-09-17,AMA Join,13
A00631,U0989,2026-02-19,Message,27
A00632,U3250,2025-01-27,Event Join,27
A00633,U4823,2024-11-13,AMA Join,49
A00634,U2319,2025-12-07,Message,12
