user_id,join_date,source,country,wallet_connected
U0124,21-08-2025,Twitter,Australia,Yes
U0125,14-03-2025,Twitter,Australia,Yes
U0126,20-08-2025,Discord Invite,Australia,Yes
U0127,12-02-2025,Event,Philippines,Yes
U0128,05-01-2025,Ambassador Program,Brazil,Yes
U0129,12-08-2024,Twitter,USA,Yes
U0130,21-05-2024,Discord Invite,Philippines,No
U0131,05-06-2025,Discord Invite,Germany,No
U0132,20-05-2025,Twitter,Nigeria,No
U0133,03-04-2024,Twitter,Brazil,No
U0134,18-02-2024,Twitter,Brazil,Yes
U0135,22-04-2024,Ambassador Program,Nigeria,Yes
U0136,05-06-2024,Twitter,India,No
U0137,04-10-2025,Discord Invite,Singapore,Yes
U0138,12-06-2024,Event,USA,Yes
U0139,27-11-2025,Discord Invite,USA,Yes
U0140,08-03-2025,Ambassador Program,India,Yes
U0141,02-09-2025,Ambassador Program,Singapore,Yes
U0142,06-03-2024,Twitter,USA,Yes
U0143,29-01-2025,Discord Invite,Germany,No
U0144,25-01-2025,Twitter,UK,Yes
U0145,02-09-2025,Twitter,UK,No
U0146,24-04-2025,Twitter,USA,Yes
U0147,25-06-2025,Referral,Canada,No
U0148,14-09-2024,Discord Invite,USA,Yes
U0149,20-07-2025,Twitter,Nigeria,Yes
U0150,12-01-2024,Twitter,Nigeria,Yes
U0151,27-11-2025,Ambassador Program,Singapore,Yes
U0152,27-04-2024,Twitter,Australia,Yes
U0153,29-11-2025,Twitter,Brazil,Yes
U0154,03-07-2025,Discord Invite,Germany,Yes
U0155,30-09-2024,Ambassador Program,India,Yes
U0156,18-10-2025,Twitter,USA,No
U0157,14-12-2024,Referral,Australia,No
U0158,24-04-2024,Event,Australia,Yes
U0159,27-10-2024,Twitter,Germany,Yes
U0160,21-03-2025,Event,India,No
U0161,10-06-2024,Discord Invite,Nigeria,Yes
U0162,09-04-2025,Referral,Philippines,Yes
U0163,04-01-2024,Referral,Germany,Yes
U0164,26-09-2024,Discord Invite,Australia,Yes
U0165,27-05-2025,Twitter,UK,Yes
U0166,01-07-2024,Event,USA,Yes
U0167,03-06-2025,Twitter,Singapore,Yes
U0168,18-04-2024,Twitter,UK,Yes
U0169,02-10-2025,Twitter,Australia,No
U0170,01-11-2024,Referral,Brazil,Yes
U0171,16-10-2025,Referral,Canada,Yes
U0172,03-06-2025,Twitter,India,Yes
U0173,15-09-2025,Discord Invite,Nigeria,Yes
U0174,22-07-2024,Twitter,USA,Yes
U0175,05-06-2024,Referral,Singapore,Yes
U0176,17-01-2025,Twitter,Philippines,Yes
U0177,14-06-2024,Referral,Nigeria,Yes
U0178,06-07-2025,Discord Invite,USA,Yes
U0179,27-06-2025,Ambassador Program,Philippines,Yes
U0180,01-01-2024,Twitter,Singapore,No
U0181,05-09-2025,Twitter,Australia,Yes
U0182,27-11-2024,Twitter,Canada,Yes
U0183,15-05-2025,Ambassador Program,UK,Yes
U0184,20-01-2024,Ambassador Program,UK,Yes
U0185,24-04-2024,Twitter,Australia,No
U0186,06-01-2025,Referral,Nigeria,Yes
U0187,10-11-2024,Event,Australia,Yes
U0188,02-09-2024,Referral,Australia,Yes
U0189,29-02-2024,Discord Invite,USA,Yes
U0190,03-09-2024,Twitter,USA,Yes
U0191,03-08-2025,Twitter,Singapore,Yes
U0192,21-03-2024,Ambassador Program,Canada,Yes
U0193,28-03-2024,Ambassador Program,USA,No
U0194,12-05-2025,Referral,Singapore,Yes
U0195,11-03-2024,Twitter,Brazil,Yes
U0196,29-06-2025,Twitter,Australia,No
U0197,08-05-2024,Event,Australia,No
U0198,11-05-2024,Ambassador Program,Nigeria,Yes
U0199,06-11-2025,Ambassador Program,Brazil,Yes
U0200,01-05-2025,Event,Nigeria,No
U0201,16-07-2025,Referral,Philippines,Yes
U0202,18-06-2024,Twitter,Singapore,Yes
U0203,28-09-2024,Twitter,Singapore,No
U0204,24-06-2025,Ambassador Program,Australia,Yes
U0205,13-09-2025,Referral,Germany,Yes
U0206,09-03-2025,Twitter,Philippines,Yes
U0207,04-08-2024,Twitter,Singapore,Yes
U0208,06-07-2025,Referral,USA,No
U0209,07-12-2025,Twitter,Australia,Yes
U0210,24-07-2024,Twitter,Nigeria,No
U0211,31-12-2025,Discord Invite,Brazil,Yes
U0212,15-11-2024,Referral,Nigeria,Yes
U0213,12-02-2025,Referral,UK,Yes
U0214,18-11-2025,Twitter,Germany,No
U0215,27-10-2025,Event,Singapore,No
U0216,17-01-2025,Twitter,Canada,Yes
U0217,24-03-2025,Twitter,India,Yes
U0218,13-06-2025,Event,Germany,Yes
U0219,07-04-2025,Referral,Australia,No
U0220,03-05-2024,Event,Singapore,Yes
U0221,10-09-2024,Referral,Brazil,Yes
U0222,18-08-2024,Referral,Singapore,Yes
U0223,06-03-2024,Twitter,India,Yes
U0224,12-12-2024,Discord Invite,Brazil,Yes
U0225,22-01-2024,Twitter,Nigeria,Yes
U0226,25-08-2025,Twitter,Brazil,No
U0227,21-07-2025,Ambassador Program,Germany,Yes
U0228,23-08-2024,Discord Invite,Nigeria,Yes
U0229,25-08-2025,Ambassador Program,Singapore,Yes
U0230,13-08-2024,Referral,Australia,Yes
U0231,08-01-2024,Event,Philippines,No
U0232,13-03-2024,Discord Invite,Australia,Yes
U0233,25-12-2025,Referral,Singapore,Yes
U0234,08-10-2025,Discord Invite,India,Yes
U0235,01-03-2024,Twitter,Philippines,Yes
U0236,22-08-2024,Event,Singapore,Yes
U0237,10-03-2024,Twitter,Canada,Yes
U0238,02-02-2024,Twitter,Germany,Yes
U0239,04-12-2024,Referral,Canada,No
U0240,13-03-2024,Twitter,Nigeria,Yes
U0241,10-06-2025,Ambassador Program,UK,Yes
U0242,31-08-2024,Ambassador Program,Singapore,No
U0243,12-10-2024,Ambassador Program,USA,Yes
U0244,16-11-2025,Discord Invite,USA,Yes
U0245,12-05-2025,Twitter,Brazil,Yes
U0246,07-08-2024,Ambassador Program,Australia,Yes
U0247,06-07-2025,Discord Invite,Australia,Yes
U0248,15-05-2024,Ambassador Program,Australia,Yes
U0249,07-08-2025,Ambassador Program,Canada,No
U0250,13-08-2025,Ambassador Program,Germany,Yes
U0251,29-04-2025,Twitter,Singapore,Yes
U0252,05-09-2024,Discord Invite,India,Yes
U0253,29-04-2025,Ambassador Program,Brazil,Yes
U0254,20-02-2025,Twitter,Nigeria,Yes
U0255,13-07-2024,Twitter,Philippines,Yes
U0256,06-04-2024,Referral,Nigeria,Yes
U0257,09-04-2024,Ambassador Program,Singapore,No
U0258,05-11-2025,Referral,UK,Yes
U0259,17-03-2025,Referral,Australia,No
U0260,28-12-2024,Twitter,Philippines,No
U0261,09-03-2025,Referral,Canada,Yes
U0262,24-02-2025,Ambassador Program,Singapore,No
U0263,23-04-2025,Twitter,UK,No
U0264,25-02-2024,Discord Invite,Canada,Yes
U0265,20-11-2025,Ambassador Program,UK,No
U0266,31-10-2025,Event,Australia,Yes
U0267,23-10-2025,Referral,Canada,Yes
U0268,10-04-2024,Event,Germany,No
U0269,03-03-2024,Discord Invite,USA,Yes
U0270,16-02-2025,Twitter,Nigeria,Yes
U0271,13-12-2024,Event,Germany,Yes
U0272,21-04-2024,Event,Philippines,No
U0273,11-09-2024,Ambassador Program,Brazil,No
U0274,15-07-2024,Ambassador Program,USA,Yes
U0275,13-07-2024,Discord Invite,Germany,No
U0276,03-07-2025,Discord Invite,Singapore,Yes
U0277,04-04-2025,Event,UK,Yes
U0278,23-05-2024,Referral,Philippines,Yes
U0279,08-03-2025,Event,Singapore,No
U0280,06-07-2024,Event,USA,Yes
U0281,12-10-2024,Ambassador Program,UK,Yes
U0282,18-04-2025,Twitter,Philippines,No
U0283,12-09-2024,Discord Invite,Brazil,No
U0284,18-03-2024,Twitter,USA,Yes
U0285,29-03-2025,Referral,Philippines,Yes
U0286,17-07-2025,Twitter,Germany,No
U0287,10-04-2024,Discord Invite,Philippines,No
U0288,21-02-2024,Discord Invite,USA,Yes
U0289,29-10-2025,Twitter,Australia,No
U0290,07-07-2025,Referral,Germany,No
U0291,16-01-2024,Twitter,Singapore,No
U0292,05-04-2024,Twitter,USA,No
U0293,30-08-2024,Event,Australia,Yes
U0294,19-06-2024,Discord Invite,India,Yes
U0295,20-02-2025,Twitter,Brazil,Yes
U0296,12-05-2025,Discord Invite,Australia,Yes
U0297,07-05-2025,Event,India,No
U0298,06-08-2024,Twitter,Nigeria,No
U0299,14-02-2025,Referral,UK,Yes
U0300,01-03-2024,Twitter,Australia,Yes
U0301,17-06-2024,Twitter,Canada,Yes
U0302,23-01-2025,Discord Invite,Brazil,Yes
U0303,03-01-2024,Discord Invite,Australia,Yes
U0304,03-02-2025,Referral,India,Yes
U0305,28-09-2024,Event,Canada,Yes
U0306,10-04-2025,Ambassador Program,Brazil,Yes
U0307,19-10-2024,Discord Invite,Canada,Yes
U0308,09-03-2025,Twitter,Germany,No
U0309,14-12-2025,Event,India,Yes
U0310,23-07-2025,Twitter,Philippines,Yes
U0311,08-11-2025,Discord Invite,Germany,Yes
U0312,13-05-2025,Twitter,Brazil,Yes
U0313,07-06-2024,Twitter,Brazil,No
U0314,13-07-2024,Ambassador Program,USA,Yes
U0315,30-10-2024,Event,India,No
U0316,10-08-2024,Referral,Nigeria,Yes
U0317,29-02-2024,Discord Invite,Nigeria,Yes
U0318,16-08-2025,Twitter,Brazil,Yes
U0319,09-07-2025,Twitter,Nigeria,No
U0320,03-03-2024,Twitter,UK,Yes
U0321,17-11-2024,Discord Invite,USA,No
U0322,28-02-2024,Event,Brazil,Yes
U0323,21-02-2024,Referral,Nigeria,Yes
U0324,21-08-2025,Twitter,India,No
U0325,03-05-2025,Ambassador Program,Australia,No
U0326,29-05-2025,Event,Philippines,Yes
U0327,27-06-2025,Referral,Germany,Yes
U0328,10-06-2024,Referral,Germany,Yes
U0329,28-02-2024,Discord Invite,UK,Yes
U0330,04-06-2025,Twitter,Canada,No
U0331,23-03-2024,Discord Invite,India,Yes
U0332,09-07-2024,Event,Canada,Yes
U0333,11-03-2024,Twitter,USA,No
U0334,01-09-2025,Twitter,Philippines,No
U0335,10-03-2024,Twitter,USA,Yes
U0336,22-11-2025,Twitter,Brazil,No
U0337,28-08-2024,Ambassador Program,India,Yes
U0338,17-02-2025,Event,Brazil,Yes
U0339,02-05-2024,Discord Invite,Singapore,No
U0340,06-08-2025,Twitter,Nigeria,Yes
U0341,09-09-2024,Discord Invite,Germany,Yes
U0342,15-08-2025,Discord Invite,Australia,Yes
U0343,31-08-2025,Twitter,Brazil,No
U0344,10-02-2024,Discord Invite,Canada,Yes
U0345,26-09-2025,Discord Invite,Singapore,Yes
U0346,24-03-2024,Referral,Germany,Yes
U0347,05-03-2025,Referral,Brazil,Yes
U0348,04-11-2025,Twitter,Singapore,Yes
U0349,20-08-2025,Discord Invite,Singapore,No
U0350,01-08-2025,Referral,India,Yes
U0351,19-06-2025,Discord Invite,USA,Yes
U0352,19-11-2024,Ambassador Program,Singapore,Yes
U0353,24-09-2024,Referral,UK,Yes
U0354,28-07-2024,Twitter,USA,No
U0355,16-11-2025,Twitter,Germany,Yes
U0356,17-11-2024,Referral,Germany,Yes
U0357,01-09-2024,Twitter,Germany,Yes
U0358,28-09-2024,Referral,Germany,Yes
U0359,09-02-2025,Ambassador Program,UK,Yes
U0360,14-05-2024,Referral,Brazil,No
U0361,18-11-2025,Discord Invite,Philippines,Yes
U0362,22-10-2025,Referral,Singapore,No
U0363,03-11-2024,Discord Invite,Germany,Yes
U0364,13-04-2025,Discord Invite,USA,Yes
U0365,19-11-2024,Ambassador Program,USA,Yes
U0366,15-03-2024,Discord Invite,Singapore,No
U0367,10-01-2024,Ambassador Program,Brazil,Yes
U0368,14-04-2025,Ambassador Program,Australia,Yes
U0369,28-09-2025,Twitter,Australia,Yes
U0370,30-07-2025,Twitter,Philippines,No
U0371,12-04-2024,Twitter,Brazil,Yes
U0372,16-03-2024,Twitter,Singapore,Yes
U0373,04-07-2025,Twitter,Australia,No
U0374,06-08-2024,Referral,Australia,No
U0375,02-06-2025,Twitter,Australia,Yes
U0376,28-09-2024,Twitter,Canada,Yes
U0377,15-05-2024,Event,UK,Yes
U0378,23-12-2024,Twitter,Singapore,Yes
U0379,11-03-2024,Event,Nigeria,No
U0380,07-09-2024,Twitter,India,Yes
U0381,13-01-2025,Twitter,India,No
U0382,18-10-2024,Referral,Brazil,Yes
U0383,10-06-2024,Referral,Singapore,Yes
U0384,24-03-2025,Ambassador Program,Singapore,Yes
U0385,10-07-2025,Event,India,No
U0386,21-12-2025,Event,Philippines,Yes
U0387,05-11-2024,Twitter,India,Yes
U0388,18-09-2025,Twitter,Singapore,Yes
U0389,31-10-2025,Event,Australia,No
U0390,25-06-2025,Event,Philippines,No
U0391,09-01-2024,Ambassador Program,Germany,Yes
U0392,14-11-2025,Discord Invite,Nigeria,Yes
U0393,21-07-2025,Discord Invite,Canada,No
U0394,02-11-2024,Event,UK,No
U0395,10-11-2025,Twitter,Germany,Yes
U0396,16-04-2024,Ambassador Program,USA,Yes
U0397,17-05-2024,Ambassador Program,India,Yes
U0398,27-09-2024,Discord Invite,Nigeria,Yes
U0399,28-04-2024,Event,India,No
U0400,19-04-2024,Event,India,Yes
U0401,20-07-2025,Twitter,Germany,Yes
U0402,08-06-2024,Ambassador Program,Australia,Yes
U0403,05-10-2024,Discord Invite,Australia,No
U0404,15-10-2024,Event,Canada,Yes
U0405,11-09-2025,Twitter,Philippines,Yes
U0406,03-08-2024,Ambassador Program,India,Yes
U0407,17-12-2024,Discord Invite,Brazil,Yes
U0408,27-07-2024,Twitter,Australia,Yes
U0409,04-12-2025,Ambassador Program,Singapore,No
U0410,11-10-2025,Twitter,Nigeria,Yes
U0411,27-09-2024,Twitter,Brazil,Yes
U0412,01-06-2025,Ambassador Program,Germany,Yes
U0413,15-05-2025,Ambassador Program,Germany,Yes
U0414,14-09-2024,Referral,Canada,Yes
U0415,22-02-2024,Referral,Canada,Yes
U0416,04-04-2024,Discord Invite,Philippines,Yes
U0417,11-10-2025,Twitter,Singapore,Yes
U0418,09-03-2025,Twitter,Nigeria,No
U0419,10-10-2024,Referral,Singapore,Yes
U0420,15-02-2024,Event,USA,Yes
U0421,04-01-2024,Event,Canada,Yes
U0422,07-12-2024,Event,Philippines,No
U0423,13-05-2024,Twitter,UK,Yes
U0424,14-10-2025,Discord Invite,India,No
U0425,25-09-2024,Twitter,India,Yes
U0426,14-06-2024,Discord Invite,UK,No
U0427,28-03-2025,Discord Invite,Australia,Yes
U0428,18-07-2025,Ambassador Program,Singapore,Yes
U0429,23-12-2025,Discord Invite,UK,Yes
U0430,13-03-2025,Twitter,Philippines,Yes
U0431,28-07-2025,Twitter,Nigeria,No
U0432,10-01-2024,Event,UK,Yes
U0433,24-04-2024,Referral,Philippines,No
U0434,18-03-2024,Twitter,Canada,Yes
U0435,08-12-2025,Twitter,Brazil,Yes
U0436,01-06-2024,Event,Germany,Yes
U0437,12-07-2025,Twitter,Germany,Yes
U0438,06-02-2024,Event,USA,No
U0439,13-01-2025,Event,Singapore,Yes
U0440,19-08-2025,Twitter,Nigeria,Yes
U0441,19-07-2025,Twitter,Brazil,No
U0442,31-05-2024,Ambassador Program,Brazil,Yes
U0443,16-03-2025,Discord Invite,Canada,Yes
U0444,10-05-2024,Discord Invite,UK,Yes
U0445,12-02-2024,Event,Singapore,Yes
U0446,11-11-2024,Ambassador Program,India,Yes
U0447,08-01-2025,Ambassador Program,Brazil,Yes
U0448,10-02-2024,Event,Philippines,Yes
U0449,01-01-2025,Discord Invite,India,No
U0450,03-08-2024,Twitter,USA,Yes
U0451,29-11-2025,Event,UK,No
U0452,12-09-2024,Referral,UK,Yes
U0453,13-11-2025,Discord Invite,Nigeria,Yes
U0454,15-04-2024,Ambassador Program,Brazil,Yes
U0455,28-12-2024,Twitter,Canada,Yes
U0456,27-07-2025,Discord Invite,Australia,Yes
U0457,20-02-2025,Twitter,Australia,No
U0458,27-09-2025,Discord Invite,Germany,No
U0459,07-06-2024,Twitter,Philippines,Yes
U0460,30-08-2024,Twitter,India,Yes
U0461,15-06-2024,Twitter,USA,Yes
U0462,30-06-2024,Referral,Germany,Yes
U0463,26-02-2025,Event,UK,Yes
U0464,26-01-2024,Referral,India,No
U0465,02-07-2024,Ambassador Program,Singapore,Yes
U0466,06-12-2024,Discord Invite,Brazil,No
U0467,25-02-2025,Twitter,USA,Yes
U0468,16-11-2025,Ambassador Program,Singapore,Yes
U0469,11-09-2024,Twitter,Canada,Yes
U0470,30-09-2024,Ambassador Program,Brazil,Yes
U0471,12-06-2024,Twitter,India,Yes
U0472,19-12-2025,Ambassador Program,Brazil,Yes
U0473,20-04-2024,Twitter,Germany,No
U0474,26-01-2025,Ambassador Program,Nigeria,No
U0475,09-02-2024,Discord Invite,Germany,Yes
U0476,26-04-2025,Ambassador Program,Canada,No
U0477,15-08-2024,Twitter,Philippines,Yes
U0478,23-07-2024,Referral,Singapore,No
U0479,16-04-2025,Ambassador Program,Germany,Yes
U0480,24-12-2024,Discord Invite,Nigeria,Yes
U0481,08-11-2024,Referral,Philippines,Yes
U0482,21-08-2024,Referral,Germany,Yes
U0483,16-08-2024,Discord Invite,UK,Yes
U0484,25-01-2024,Referral,Nigeria,Yes
U0485,06-11-2025,Referral,Singapore,Yes
U0486,16-07-2024,Ambassador Program,USA,Yes
U0487,12-02-2025,Twitter,Australia,Yes
U0488,02-12-2024,Twitter,Philippines,Yes
U0489,12-10-2024,Ambassador Program,UK,Yes
U0490,12-03-2024,Ambassador Program,USA,Yes
U0491,12-10-2024,Discord Invite,India,No
U0492,25-12-2024,Referral,Nigeria,Yes
U0493,18-10-2025,Twitter,UK,Yes
U0494,05-06-2025,Twitter,Brazil,Yes
U0495,13-02-2025,Discord Invite,India,Yes
U0496,26-11-2025,Discord Invite,India,Yes
U0497,03-07-2025,Referral,Philippines,Yes
U0498,05-12-2024,Twitter,Nigeria,Yes
U0499,29-01-2024,Ambassador Program,UK,No
U0500,28-04-2024,Ambassador Program,Canada,Yes
U0501,24-09-2024,Referral,UK,No
U0502,01-07-2024,Discord Invite,Germany,Yes
U0503,17-08-2025,Twitter,India,Yes
U0504,28-09-2024,Event,Singapore,Yes
U0505,09-02-2024,Referral,India,Yes
U0506,21-04-2024,Twitter,India,Yes
U0507,02-09-2025,Ambassador Program,Australia,Yes
U0508,20-03-2025,Event,Brazil,Yes
U0509,19-12-2024,Ambassador Program,Canada,No
U0510,17-11-2024,Event,USA,No
U0511,22-03-2025,Referral,USA,Yes
U0512,12-09-2025,Discord Invite,Brazil,No
U0513,07-06-2025,Ambassador Program,India,Yes
U0514,28-04-2024,Ambassador Program,USA,Yes
U0515,29-01-2025,Twitter,Nigeria,Yes
U0516,13-08-2025,Twitter,Canada,Yes
U0517,13-07-2024,Discord Invite,USA,Yes
U0518,17-09-2024,Event,Brazil,No
U0519,15-02-2024,Ambassador Program,Germany,Yes
U0520,26-12-2025,Twitter,USA,Yes
U0521,22-03-2025,Referral,Canada,No
U0522,02-01-2024,Discord Invite,Philippines,Yes
U0523,16-06-2025,Ambassador Program,Philippines,Yes
U0524,05-07-2025,Event,Nigeria,Yes
U0525,04-12-2025,Event,UK,Yes
U0526,17-11-2025,Discord Invite,UK,Yes
U0527,20-07-2024,Discord Invite,USA,Yes
U0528,07-01-2025,Twitter,Singapore,Yes
U0529,17-03-2025,Twitter,Germany,No
U0530,12-03-2024,Ambassador Program,Brazil,No
U0531,11-11-2025,Event,Germany,Yes
U0532,04-12-2024,Ambassador Program,Philippines,Yes
U0533,30-09-2025,Ambassador Program,USA,Yes
U0534,17-11-2024,Referral,Canada,No
U0535,10-11-2025,Event,Brazil,Yes
U0536,07-05-2024,Ambassador Program,Germany,Yes
U0537,03-11-2024,Event,Canada,No
U0538,03-06-2025,Twitter,Brazil,No
U0539,12-11-2024,Discord Invite,Germany,Yes
U0540,13-11-2025,Twitter,Nigeria,Yes
U0541,22-02-2025,Ambassador Program,Philippines,Yes
U0542,30-11-2024,Referral,India,Yes
U0543,16-02-2025,Twitter,Brazil,Yes
U0544,14-12-2025,Referral,Philippines,Yes
U0545,29-10-2024,Referral,Australia,Yes
U0546,21-07-2025,Discord Invite,Singapore,Yes
U0547,10-05-2024,Twitter,USA,Yes
U0548,15-07-2024,Referral,Australia,Yes
U0549,06-03-2025,Discord Invite,Canada,Yes
U0550,11-11-2025,Event,Brazil,No
U0551,23-01-2025,Discord Invite,USA,Yes
U0552,24-11-2025,Ambassador Program,USA,Yes
U0553,27-06-2024,Referral,Australia,Yes
U0554,22-09-2025,Referral,Australia,Yes
U0555,05-08-2025,Ambassador Program,India,Yes
U0556,04-11-2024,Discord Invite,Germany,No
U0557,19-02-2025,Twitter,Brazil,Yes
U0558,15-07-2025,Twitter,Philippines,No
U0559,01-01-2024,Event,UK,Yes
U0560,07-11-2024,Referral,Brazil,Yes
U0561,20-10-2024,Event,Brazil,No
U0562,03-08-2024,Twitter,Brazil,Yes
U0563,16-03-2025,Twitter,USA,Yes
U0564,16-08-2025,Twitter,Canada,Yes
U0565,13-09-2025,Discord Invite,USA,Yes
U0566,01-11-2025,Referral,Canada,No
U0567,25-11-2024,Discord Invite,Australia,No
U0568,21-04-2025,Discord Invite,UK,No
U0569,28-03-2025,Ambassador Program,USA,Yes
U0570,28-03-2025,Twitter,Canada,Yes
U0571,22-11-2025,Discord Invite,USA,Yes
U0572,06-08-2024,Event,Singapore,No
U0573,07-06-2025,Discord Invite,USA,Yes
U0574,29-04-2025,Referral,UK,Yes
U0575,22-06-2024,Ambassador Program,UK,No
U0576,05-11-2025,Ambassador Program,Canada,Yes
U0577,27-03-2024,Twitter,Canada,Yes
U0578,17-10-2024,Ambassador Program,Australia,No
U0579,11-06-2025,Discord Invite,UK,Yes
U0580,10-11-2025,Twitter,UK,Yes
U0581,10-10-2025,Discord Invite,India,Yes
